time,ax,ay,az,wx,wy,wz
0.632,0,-0.06,-0.01,-0.01,0,0
0.633,0,-0.06,-0.01,-0.01,0,0
0.633,0,-0.06,-0.01,-0.01,0,-0.01
0.633,0,-0.06,-0.01,-0.01,0,-0.01
0.633,0.01,-0.05,0,-0.01,0,-0.01
0.635,0.01,-0.05,0,0,0,-0.01
0.638,0,-0.06,-0.01,0,0,-0.01
0.638,0,-0.06,-0.01,0,0,-0.01
0.641,0,-0.06,-0.01,0,0,-0.01
0.644,0,-0.06,-0.01,0,0,-0.01
0.644,0.01,-0.03,-0.03,0,0,-0.01
0.645,0.01,-0.03,-0.03,0,0,-0.01
0.647,0.01,-0.03,-0.03,0,0.01,-0.01
0.648,0,-0.03,-0.03,0,0.01,-0.01
0.649,0,-0.03,-0.03,0,0,-0.01
0.654,0,-0.03,-0.03,0,0,-0.01
0.654,0.01,-0.02,-0.02,0,0,-0.01
0.656,0.01,-0.02,-0.02,0,0,-0.01
0.658,0.01,-0.02,-0.02,0,0,-0.01
0.659,0.01,0,-0.04,0,0,-0.01
0.66,0.01,0,-0.04,0,0,-0.01
0.662,0,0,-0.03,0,0,-0.01
0.662,0,0,-0.03,0.01,0,-0.01
0.664,0,0,-0.03,0,0.01,-0.01
0.667,0.03,0.01,-0.04,0,0.01,-0.01
0.667,0.03,0.01,-0.04,0.01,0.01,-0.01
0.669,0.03,0.01,-0.04,0,0.01,-0.01
0.672,0.03,0.01,-0.04,0,0.01,-0.01
0.672,0.01,-0.01,-0.04,0,0.01,-0.01
0.674,0.01,-0.01,-0.04,0,0.01,-0.01
0.678,0,0,-0.07,0,0.01,-0.01
0.678,0,0,-0.07,0,0,-0.01
0.679,0,0,-0.07,0,0.01,-0.01
0.682,0.03,0.03,-0.03,0,0.01,-0.01
0.682,0.03,0.03,-0.03,0,0.01,-0.01
0.684,0.03,0.03,-0.03,0,0.01,-0.01
0.687,0.02,0.03,-0.04,0,0.01,-0.01
0.687,0.02,0.03,-0.04,0,0,-0.01
0.689,0.02,0.03,-0.04,0,0.01,-0.01
0.693,0.03,0.02,-0.04,0,0.01,-0.01
0.693,0.03,0.02,-0.04,0,0.01,-0.01
0.694,0.03,0.02,-0.04,0,0.01,-0.01
0.696,0.04,0.02,-0.04,0,0.01,-0.01
0.696,0.04,0.02,-0.04,0,0.01,-0.01
0.699,0.04,0.02,-0.04,0,0.01,-0.01
0.701,0.02,-0.03,-0.04,0,0.01,-0.01
0.702,0.02,-0.03,-0.04,0,0.01,-0.01
0.704,0.02,-0.03,-0.04,0,0,-0.01
0.706,0.02,-0.03,-0.03,0,0,-0.01
0.707,0.02,-0.03,-0.03,0,0,-0.01
0.709,0.02,-0.03,-0.03,0,0,-0.01
0.711,0.03,-0.01,-0.04,0,0,-0.01
0.712,0.03,-0.01,-0.04,0,0,-0.01
0.714,0.03,-0.01,-0.04,0,0,-0.01
